MIME,Extension,Name,FullName
representation/gltf-binary,.glb,GLTF Binary,Graphics Library Transmission Format Binary
representation/gltf+json,.gltf,GLTF JSON,Graphics Library Transmission Format JSON
representation/stl,.stl,STL,Stereolithography
representation/obj,.obj,OBJ,Object File
representation/x-blender,.blend,Blender,Blender File
representation/vnd.3dm,.3dm,Rhino,Rhino 3D Representation
representation/x-ifc,.ifc,IFC,Industry Foundation Classes
representation/acad,.dwg,DWG,Drawing
representation/dxf,.dxf,DXF,Drawing Exchange Format
representation/vnd.revit,.rvt,Revit,Revit Project
representation/vnd.speckle+json,.speckle,Speckle,Speckle Representation
image/png,.png,PNG,Portable Network Graphics
image/jpeg,.jpg,JPEG,Joint Photographic Experts Group
image/svg+xml,.svg,SVG,Scalable Vector Graphics
image/gif,.gif,GIF,Graphics Interchange Format
image/bmp,.bmp,BMP,Bitmap
image/tiff,.tiff,TIFF,Tagged Image File Format
application/pdf,.pdf,PDF,Portable Document Format
application/zip,.zip,ZIP,Zip Archive
application/json,.json,JSON,JavaScript Object Notation
application/msword,.doc,Word,Microsoft Word Document
application/vnd.openxmlformats-officedocument.wordprocessingml.document,.docx,Word (OpenXML),Microsoft Word Document (OpenXML)
application/vnd.ms-excel,.xls,Excel,Microsoft Excel Spreadsheet
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.xlsx,Excel (OpenXML),Microsoft Excel Spreadsheet (OpenXML)
application/vnd.ms-powerpoint,.ppt,PowerPoint,Microsoft PowerPoint Presentation
application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx,PowerPoint (OpenXML),Microsoft PowerPoint Presentation (OpenXML)
application/vnd.bcf+xml,.bcf,BCF,BIM Collaboration Format
text/csv,.csv,CSV,Comma-Separated Values
text/plain,.txt,Text,Plain Text File
video/mp4,.mp4,MP4,MPEG-4 Video
audio/mpeg,.mp3,MP3,MPEG-1 Audio Layer III
