sequence	event	code	payload_hex	expectation
1	metrics-old	1801	0101000000010000000100000020030000580200000000803f	coalesced
2	metrics-latest	1801	0101000000010000000100000040060000b004000000000040	metrics:1600x1200@2
3	pointer-old	1804	0101000000010000000100000007000000000000c07f0000c07f0000c07f000020410000a0410000	coalesced
4	pointer-latest	1804	0101000000010000000100000007000000000000c07f0000c07f0000c07f000030410000a8410000	pointer:11x21
5	visibility-hidden	1802	0101000000010000000100000000	hidden
6	visibility-visible	1802	0101000000010000000100000001	visible
7	frame	1803	010100000001000000010000000000000000003040	frame:16ms
8	key-down	1808	01010000000100000001000000020300616263	key:abc+ctrl
9	text	1810	010100000001000000010000000200c3a4	text:ä
10	close	1811	01010000000100000001000000	terminal-empty
