din4108 | set-document/default | set-document document { category=residential climate=zone2 airtightness-n50=2.5 psi-times-l-sum=0.02 rh-int=0.5 catalog-id=AW-01 material-id=mineral_wool airtightness-class=class2 t-int-c=20 solar-absorptance=0.6 irradiance-w-m2=600 moisture-mu-exterior=15 moisture-mu-interior=1.3 envelope-area-m2=100m2 bb2-details-conform=true application-type=DEO declared-application-class=dk layers [thickness-m:QTY lambda-w-mk:NUM] { 0.24m 0.81 0.14m 0.035 } } | 208 | 0100060541572d30310344454f06636c6173733202646b0c6d696e6572616c5f776f6f6c0b7265736964656e7469616c01000e0d1200060501140202000004b81e85eb51b8ce3fec51b81e85ebc13f010004ec51b81e85ebe93fec51b81e85eba13f020a010305000000000000044004057b14ae47e17a943f0505000000000000e03f060600070604080602090500000000000034400a05333333333333e33f0b050000000000c082400c050000000000002e400d05cdccccccccccf43f0e0500000000000059400f02100601110603
din4108 | evaluate | evaluate | 4 | 01010000
din4108 | selected-check/some | selected-check index=2 | 7 | 01020001000402
din4108 | selected-check/none | selected-check | 4 | 01020000
din16798 | set-document/default | set-document document { annex=de occupancy=residential comfort-category=II t-op-c=22 rh-percent=50pct air-speed-m-s=0.1m/s theta-rm-c=15 co2-ppm=800 df-percent=2.5pct l-aeq-db=24 persons=10 ida-class="2" ventilation-m3-h=280 floor-area-m2=90m2 bedrooms=3 dwelling-ventilation-m3-h=63 occupants=3 residential-ventilation-m3-h=80 sfp-w-m3-s=1500 sfp-required-class=4 heat-recovery-eta=0.75 heat-recovery-eta-min=0.7 system-type=central_mech years-since-inspection=1 humidification-required-kg-h=2 humidification-provided-kg-h=2 fan-q-v-m3-s=1 fan-t-run-h=8h fan-energy-reference-kwh=15 night-setback-k=3.5K hr-m-dot-kg-s=0.5 hr-cp-j-kgk=1005 hr-delta-t-c=15 hr-t-h=10h hr-savings-reference-kwh=50 n50-h-inv=1.5 volume-m3=500m3 infiltration-allowance-m3-h=45 cellar-area-m2=50m2 cellar-ventilation-m3-h=15 h-tr-w-k=200 h-ve-w-k=100 theta-e-c=32 theta-set-c=26 cooling-delta-t-h=10 cooling-gains-kwh=5 cooling-utilization-factor=0.8 cooling-reference-kwh=20 chiller-type=air_cooled eer-actual=3 q-c-kwh=1000 generation-reference-kwh=400 data-center-supply-c=22 h-st-w-k=5 theta-st-c=60 theta-amb-c=20 storage-t-h=24h storage-allowance-kwh=6 dhw-delivery-c=58 duct-class=C duct-test-pressure-pa=400Pa duct-leakage-m3-s-m2=0.1 } | 587 | 010006013201430249490a6169725f636f6f6c65640c63656e7472616c5f6d6563680b7265736964656e7469616c01000e0d3e000a01010605020602030500000000000036400405000000000000494005059a9999999999b93f06050000000000002e400705000000000000894008050000000000000440090500000000000038400a040a0b06000c0500000000008071400d0500000000008056400e04030f050000000000804f4010040311050000000000005440120500000000007097401304041405000000000000e83f1505666666666666e63f16060417040118050000000000000040190500000000000000401a05000000000000f03f1b0500000000000020401c050000000000002e401d050000000000000c401e05000000000000e03f1f050000000000688f4020050000000000002e4021050000000000002440220500000000000049402305000000000000f83f24050000000000407f40250500000000008046402605000000000000494027050000000000002e4028050000000000006940290500000000000059402a0500000000000040402b050000000000003a402c0500000000000024402d0500000000000014402e059a9999999999e93f2f0500000000000034403006033105000000000000084032050000000000408f4033050000000000007940340500000000000036403505000000000000144036050000000000004e403705000000000000344038050000000000003840390500000000000018403a050000000000004d403b06013c0500000000000079403d059a9999999999b93f
din16798 | evaluate | evaluate | 4 | 01010000
din16798 | selected-check/some | selected-check index=2 | 7 | 01020001000402
din16798 | selected-check/none | selected-check | 4 | 01020000
din18599 | set-document/default | set-document document { use-class=residential heated-area-m2=100m2 occupants=4 h-t=92.12124613902822 h-v=40.800000000000004 internal-gains-w-m2=3.5 solar-gains-kwh=84 system-losses-kwh=800 renewable-kwh=1500 annual-limit-kwh=7500 energy-carrier=natural_gas reference-q-p-kwh=10000 climate { theta-e-c=-14,-11.186533479473212,-3.4999999999999964,7.000000000000001,17.5,25.186533479473212,28,25.186533479473212,17.5,7.000000000000001,-3.4999999999999964,-11.186533479473212 g-h-w-m2=30,60,100,140,180,200,210,190,140,90,40,20 } } | 321 | 0100010b6e61747572616c5f67617301000e0d0d000a000105000000000000594002040403051e792a7fc207574004056766666666664440050e0d0200150c0000000000002cc0a0e4f350815f26c0f8ffffffffff0bc00100000000001c40000000000080314050f279a8c02f39400000000000003c4050f279a8c02f394000000000008031400100000000001c40f8ffffffffff0bc0a0e4f350815f26c001150c0000000000003e400000000000004e4000000000000059400000000000806140000000000080664000000000000069400000000000406a400000000000c06740000000000080614000000000008056400000000000004440000000000000344006050000000000000c400705000000000000554008050000000000008940090500000000007097400a0500000000004cbd400b06000c05000000000088c340
din18599 | evaluate | evaluate | 4 | 01010000
din18599 | selected-check/some | selected-check index=2 | 7 | 01020001000402
