✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:8:110: error[E0432]: unresolved import `semio_framework_ui_contract::HasBindings`: no `HasBindings` in the root
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs:295:61: error[E0433]: cannot find module or crate `commands` in this scope: use of unresolved module or unlinked crate `commands`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🎮️commands/🐚️copy-prompt/🦀️component.rs:13:5: error[E0308]: mismatched types: expected `Result<Vec<SceneAssetBundle>, ...>`, found future
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/👁️viewer/🎭️modes/👁️view/🪟️windows/🖼️tile-editor/🦀️component.rs:101:96: error[E0599]: no method named `build` found for struct `SurfaceBuilder` in the current scope: method not found in `SurfaceBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🎭️modes/🖊️main/🪟️windows/🖼️tile-editor/🦀️component.rs:82:111: error[E0599]: no method named `build` found for struct `SurfaceBuilder` in the current scope: method not found in `SurfaceBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:43:141: error[E0599]: no method named `build` found for struct `ButtonBuilder` in the current scope: method not found in `ButtonBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:44:114: error[E0599]: no method named `build` found for struct `ButtonBuilder` in the current scope: method not found in `ButtonBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:54:68: error[E0599]: no method named `build` found for struct `TextBuilder` in the current scope: method not found in `TextBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:60:10: error[E0599]: no method named `build` found for struct `ContainerBuilder` in the current scope: method not found in `ContainerBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:65:10: error[E0599]: no method named `build` found for struct `InputBuilder` in the current scope: method not found in `InputBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:76:141: error[E0599]: no method named `build` found for struct `ContainerBuilder` in the current scope: method not found in `ContainerBuilder`
✏️s/🔌️plugins/🎞️animate/📦️packages/🦀️rust/./././../../🗿️artifacts/🎬️present/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/📌️panels/🛍️catalogue/🦀️component.rs:77:101: error[E0599]: no method named `build` found for struct `TextBuilder` in the current scope: method not found in `TextBuilder`
