3d-projection	🧊️
annotation-placement	🏷️
biology-kaplan-meier	🧬️
catalog-coverage	📚️
charts-bar-layout	📊️
charts-box-violin	🎻️
charts-evaluation-curves	🎯️
charts-financial	💹️
charts-heatmap-matrix	🔥️
charts-histogram-density	📶️
charts-kpi-gauge	⏱️
charts-line-area	📈️
charts-pie-donut	🥧️
charts-polar-radar	🎡️
charts-quadrant-table	🔲️
charts-scatter-trend	🌌️
charts-timeline	🗓️
composition-concat-inset	🧩️
coordinate-polar-ternary	🧭️
data-csv	🗃️
diagram-gantt-cpm	📅️
diagram-layout-lanes	🛣️
diagram-routing	🚦️
diagram-sequence	💬️
diagram-sunpath	☀️
facet-layout	🪟️
field-streamlines	🌊️
flow-sankey	🚰️
flow-sankey-twin	🚿️
format-number	🔢️
format-number-twin	🧮️
format-time	🕰️
gallery-render	🖼️
geo-path-graticule	🗺️
geo-path-graticule-twin	🧿️
geo-projections	🌍️
geo-projections-twin	🌎️
geometry-tilings-fractals	❄️
guide-axis-ticks	📏️
guide-legend	🗝️
hierarchy-aggregates	🌳️
hierarchy-aggregates-twin	🌲️
hierarchy-pack	🫧️
hierarchy-pack-twin	🎈️
hierarchy-partition	🧱️
hierarchy-partition-twin	🪜️
hierarchy-tree-cluster	🌴️
hierarchy-tree-cluster-twin	🎋️
hierarchy-treemap	🗾️
hierarchy-treemap-twin	🧇️
infographic-kinds	📰️
interactionstate-kinds	🖱️
interpolate-kinds	🔀️
mark-geometry	✒️
math-distributions	🔔️
math-functions-sampling	➗️
network-algorithms	🕸️
network-chord	🪢️
network-chord-twin	🎗️
network-circular-arc	⭕️
network-force	🧲️
network-force-twin	🌀️
network-layered	🎚️
physics-projectile-rk4	🏹️
plot-grammar	🪶️
probe-protocol	🔬️
render-scene	🎬️
scale-color	🎨️
scale-color-twin	🖌️
scale-continuous	📐️
scale-continuous-twin	📉️
scale-discrete	🔠️
scale-discrete-twin	🔡️
scale-temporal	⏳️
scale-temporal-twin	⌛️
shape-arc-pie	🌗️
shape-arc-pie-twin	🌘️
shape-curves	➰️
shape-curves-twin	➿️
shape-links-ribbons	🎀️
shape-links-ribbons-twin	🔗️
shape-symbols	🔷️
shape-symbols-twin	🔶️
signal-dft-bode	📡️
spatial-contours-density	🏔️
spatial-delaunay-voronoi	🔺️
spatial-hexbin	🐝️
spatial-hull	🥚️
spatial-quadtree	🌳️
theme-palettes	🌈️
transform-bin	🪣️
transform-bin-twin	🧺️
transform-stack	🥞️
transform-stack-twin	🍰️
transform-statistics	📋️
transform-statistics-twin	🧾️
